inventory_id,product_id,store_id,stock_quantity,reorder_level,last_updated,created_at,updated_at
1,1,1,327,27,2026-07-25 11:43:17.755082,2026-07-25 11:43:17.755082,2026-07-25 11:43:17.755082
2,2,1,12,67,2026-07-25 11:43:17.755378,2026-07-25 11:43:17.755378,2026-07-25 11:43:17.755378
3,3,1,140,35,2026-07-25 11:43:17.755398,2026-07-25 11:43:17.755398,2026-07-25 11:43:17.755398
4,4,1,114,28,2026-07-25 11:43:17.755416,2026-07-25 11:43:17.755416,2026-07-25 11:43:17.755416
5,5,1,377,26,2026-07-25 11:43:17.755436,2026-07-25 11:43:17.755436,2026-07-25 11:43:17.755436
6,6,1,346,67,2026-07-25 11:43:17.755450,2026-07-25 11:43:17.755450,2026-07-25 11:43:17.755450
7,7,1,456,54,2026-07-25 11:43:17.755472,2026-07-25 11:43:17.755472,2026-07-25 11:43:17.755472
8,8,1,44,57,2026-07-25 11:43:17.755487,2026-07-25 11:43:17.755487,2026-07-25 11:43:17.755487
9,9,1,216,22,2026-07-25 11:43:17.755499,2026-07-25 11:43:17.755499,2026-07-25 11:43:17.755499
10,10,1,15,25,2026-07-25 11:43:17.755511,2026-07-25 11:43:17.755511,2026-07-25 11:43:17.755511
11,11,1,111,34,2026-07-25 11:43:17.755521,2026-07-25 11:43:17.755521,2026-07-25 11:43:17.755521
12,12,1,258,58,2026-07-25 11:43:17.755531,2026-07-25 11:43:17.755531,2026-07-25 11:43:17.755531
13,13,1,13,55,2026-07-25 11:43:17.755541,2026-07-25 11:43:17.755541,2026-07-25 11:43:17.755541
14,14,1,101,65,2026-07-25 11:43:17.755551,2026-07-25 11:43:17.755551,2026-07-25 11:43:17.755551
15,15,1,332,64,2026-07-25 11:43:17.755560,2026-07-25 11:43:17.755560,2026-07-25 11:43:17.755560
16,16,1,279,46,2026-07-25 11:43:17.755569,2026-07-25 11:43:17.755569,2026-07-25 11:43:17.755569
17,17,1,112,48,2026-07-25 11:43:17.755579,2026-07-25 11:43:17.755579,2026-07-25 11:43:17.755579
18,18,1,301,37,2026-07-25 11:43:17.755589,2026-07-25 11:43:17.755589,2026-07-25 11:43:17.755589
19,19,1,414,75,2026-07-25 11:43:17.755598,2026-07-25 11:43:17.755598,2026-07-25 11:43:17.755598
20,20,1,3,68,2026-07-25 11:43:17.755607,2026-07-25 11:43:17.755607,2026-07-25 11:43:17.755607
21,21,1,412,30,2026-07-25 11:43:17.755616,2026-07-25 11:43:17.755616,2026-07-25 11:43:17.755616
22,22,1,357,47,2026-07-25 11:43:17.755627,2026-07-25 11:43:17.755627,2026-07-25 11:43:17.755627
23,23,1,174,37,2026-07-25 11:43:17.755637,2026-07-25 11:43:17.755637,2026-07-25 11:43:17.755637
24,24,1,79,33,2026-07-25 11:43:17.755647,2026-07-25 11:43:17.755647,2026-07-25 11:43:17.755647
25,25,1,490,68,2026-07-25 11:43:17.755656,2026-07-25 11:43:17.755656,2026-07-25 11:43:17.755656
26,26,1,172,26,2026-07-25 11:43:17.755665,2026-07-25 11:43:17.755665,2026-07-25 11:43:17.755665
27,27,1,47,44,2026-07-25 11:43:17.755674,2026-07-25 11:43:17.755674,2026-07-25 11:43:17.755674
28,28,1,49,42,2026-07-25 11:43:17.755683,2026-07-25 11:43:17.755683,2026-07-25 11:43:17.755683
29,29,1,433,42,2026-07-25 11:43:17.755692,2026-07-25 11:43:17.755692,2026-07-25 11:43:17.755692
30,30,1,309,36,2026-07-25 11:43:17.755702,2026-07-25 11:43:17.755702,2026-07-25 11:43:17.755702
31,31,1,413,22,2026-07-25 11:43:17.755711,2026-07-25 11:43:17.755711,2026-07-25 11:43:17.755711
32,32,1,373,49,2026-07-25 11:43:17.755720,2026-07-25 11:43:17.755720,2026-07-25 11:43:17.755720
33,33,1,274,27,2026-07-25 11:43:17.755729,2026-07-25 11:43:17.755729,2026-07-25 11:43:17.755729
34,34,1,498,79,2026-07-25 11:43:17.755738,2026-07-25 11:43:17.755738,2026-07-25 11:43:17.755738
35,35,1,193,25,2026-07-25 11:43:17.755747,2026-07-25 11:43:17.755747,2026-07-25 11:43:17.755747
36,36,1,282,38,2026-07-25 11:43:17.755756,2026-07-25 11:43:17.755756,2026-07-25 11:43:17.755756
37,37,1,424,60,2026-07-25 11:43:17.755765,2026-07-25 11:43:17.755765,2026-07-25 11:43:17.755765
38,38,1,316,76,2026-07-25 11:43:17.755775,2026-07-25 11:43:17.755775,2026-07-25 11:43:17.755775
39,39,1,441,43,2026-07-25 11:43:17.755784,2026-07-25 11:43:17.755784,2026-07-25 11:43:17.755784
40,40,1,295,32,2026-07-25 11:43:17.755793,2026-07-25 11:43:17.755793,2026-07-25 11:43:17.755793
41,41,1,360,24,2026-07-25 11:43:17.755802,2026-07-25 11:43:17.755802,2026-07-25 11:43:17.755802
42,42,1,23,62,2026-07-25 11:43:17.755811,2026-07-25 11:43:17.755811,2026-07-25 11:43:17.755811
43,43,1,116,69,2026-07-25 11:43:17.755820,2026-07-25 11:43:17.755820,2026-07-25 11:43:17.755820
44,44,1,148,25,2026-07-25 11:43:17.755830,2026-07-25 11:43:17.755830,2026-07-25 11:43:17.755830
45,45,1,437,34,2026-07-25 11:43:17.755839,2026-07-25 11:43:17.755839,2026-07-25 11:43:17.755839
46,46,1,443,26,2026-07-25 11:43:17.755848,2026-07-25 11:43:17.755848,2026-07-25 11:43:17.755848
47,47,1,194,37,2026-07-25 11:43:17.755857,2026-07-25 11:43:17.755857,2026-07-25 11:43:17.755857
48,48,1,232,60,2026-07-25 11:43:17.755866,2026-07-25 11:43:17.755866,2026-07-25 11:43:17.755866
49,49,1,427,43,2026-07-25 11:43:17.755875,2026-07-25 11:43:17.755875,2026-07-25 11:43:17.755875
50,50,1,83,43,2026-07-25 11:43:17.755884,2026-07-25 11:43:17.755884,2026-07-25 11:43:17.755884
51,51,1,181,33,2026-07-25 11:43:17.755893,2026-07-25 11:43:17.755893,2026-07-25 11:43:17.755893
52,52,1,343,37,2026-07-25 11:43:17.755902,2026-07-25 11:43:17.755902,2026-07-25 11:43:17.755902
53,53,1,359,79,2026-07-25 11:43:17.755911,2026-07-25 11:43:17.755911,2026-07-25 11:43:17.755911
54,54,1,349,61,2026-07-25 11:43:17.755920,2026-07-25 11:43:17.755920,2026-07-25 11:43:17.755920
55,55,1,36,58,2026-07-25 11:43:17.755929,2026-07-25 11:43:17.755929,2026-07-25 11:43:17.755929
56,56,1,325,30,2026-07-25 11:43:17.755938,2026-07-25 11:43:17.755938,2026-07-25 11:43:17.755938
57,57,1,273,66,2026-07-25 11:43:17.755947,2026-07-25 11:43:17.755947,2026-07-25 11:43:17.755947
58,58,1,125,30,2026-07-25 11:43:17.755956,2026-07-25 11:43:17.755956,2026-07-25 11:43:17.755956
59,59,1,236,44,2026-07-25 11:43:17.755964,2026-07-25 11:43:17.755964,2026-07-25 11:43:17.755964
60,60,1,138,79,2026-07-25 11:43:17.755973,2026-07-25 11:43:17.755973,2026-07-25 11:43:17.755973
61,61,1,327,64,2026-07-25 11:43:17.755982,2026-07-25 11:43:17.755982,2026-07-25 11:43:17.755982
62,62,1,285,34,2026-07-25 11:43:17.755991,2026-07-25 11:43:17.755991,2026-07-25 11:43:17.755991
63,63,1,350,40,2026-07-25 11:43:17.756000,2026-07-25 11:43:17.756000,2026-07-25 11:43:17.756000
64,64,1,431,69,2026-07-25 11:43:17.756010,2026-07-25 11:43:17.756010,2026-07-25 11:43:17.756010
65,65,1,397,23,2026-07-25 11:43:17.756019,2026-07-25 11:43:17.756019,2026-07-25 11:43:17.756019
66,66,1,117,72,2026-07-25 11:43:17.756028,2026-07-25 11:43:17.756028,2026-07-25 11:43:17.756028
67,67,1,16,71,2026-07-25 11:43:17.756037,2026-07-25 11:43:17.756037,2026-07-25 11:43:17.756037
68,68,1,161,45,2026-07-25 11:43:17.756045,2026-07-25 11:43:17.756045,2026-07-25 11:43:17.756045
69,69,1,137,24,2026-07-25 11:43:17.756054,2026-07-25 11:43:17.756054,2026-07-25 11:43:17.756054
70,70,1,108,78,2026-07-25 11:43:17.756063,2026-07-25 11:43:17.756063,2026-07-25 11:43:17.756063
71,71,1,482,56,2026-07-25 11:43:17.756072,2026-07-25 11:43:17.756072,2026-07-25 11:43:17.756072
72,72,1,448,65,2026-07-25 11:43:17.756081,2026-07-25 11:43:17.756081,2026-07-25 11:43:17.756081
73,73,1,161,33,2026-07-25 11:43:17.756090,2026-07-25 11:43:17.756090,2026-07-25 11:43:17.756090
74,74,1,335,51,2026-07-25 11:43:17.756099,2026-07-25 11:43:17.756099,2026-07-25 11:43:17.756099
75,75,1,202,76,2026-07-25 11:43:17.756108,2026-07-25 11:43:17.756108,2026-07-25 11:43:17.756108
76,76,1,468,61,2026-07-25 11:43:17.756117,2026-07-25 11:43:17.756117,2026-07-25 11:43:17.756117
77,77,1,234,29,2026-07-25 11:43:17.756126,2026-07-25 11:43:17.756126,2026-07-25 11:43:17.756126
78,78,1,135,28,2026-07-25 11:43:17.756135,2026-07-25 11:43:17.756135,2026-07-25 11:43:17.756135
79,79,1,126,67,2026-07-25 11:43:17.756144,2026-07-25 11:43:17.756144,2026-07-25 11:43:17.756144
80,80,1,287,54,2026-07-25 11:43:17.756153,2026-07-25 11:43:17.756153,2026-07-25 11:43:17.756153
81,81,1,134,67,2026-07-25 11:43:17.756162,2026-07-25 11:43:17.756162,2026-07-25 11:43:17.756162
82,82,1,299,47,2026-07-25 11:43:17.756171,2026-07-25 11:43:17.756171,2026-07-25 11:43:17.756171
83,83,1,459,57,2026-07-25 11:43:17.756180,2026-07-25 11:43:17.756180,2026-07-25 11:43:17.756180
84,84,1,204,43,2026-07-25 11:43:17.756189,2026-07-25 11:43:17.756189,2026-07-25 11:43:17.756189
85,85,1,112,28,2026-07-25 11:43:17.756198,2026-07-25 11:43:17.756198,2026-07-25 11:43:17.756198
86,86,1,260,51,2026-07-25 11:43:17.756208,2026-07-25 11:43:17.756208,2026-07-25 11:43:17.756208
87,87,1,46,68,2026-07-25 11:43:17.756218,2026-07-25 11:43:17.756218,2026-07-25 11:43:17.756218
88,88,1,24,75,2026-07-25 11:43:17.756228,2026-07-25 11:43:17.756228,2026-07-25 11:43:17.756228
89,89,1,56,29,2026-07-25 11:43:17.756237,2026-07-25 11:43:17.756237,2026-07-25 11:43:17.756237
90,90,1,321,30,2026-07-25 11:43:17.756246,2026-07-25 11:43:17.756246,2026-07-25 11:43:17.756246
91,91,1,405,63,2026-07-25 11:43:17.756255,2026-07-25 11:43:17.756255,2026-07-25 11:43:17.756255
