return_id,order_id,return_date,return_reason,refund_amount,created_at,updated_at
1,3443,2024-10-16 12:52:50.169233,Damaged Product,39952.69,2024-10-16 12:52:50.169233,2024-10-16 12:52:50.169233
2,6972,2026-03-09 21:22:48.795426,Size Issue,184079.84,2026-03-09 21:22:48.795426,2026-03-09 21:22:48.795426
3,3213,2025-01-31 15:59:44.389639,Wrong Item,5437.97,2025-01-31 15:59:44.389639,2025-01-31 15:59:44.389639
4,2449,2025-10-02 05:13:45.220860,Damaged Product,49201.39,2025-10-02 05:13:45.220860,2025-10-02 05:13:45.220860
5,5918,2026-03-17 11:50:12.042570,Changed Mind,113704.63,2026-03-17 11:50:12.042570,2026-03-17 11:50:12.042570
6,2019,2025-03-14 18:20:20.021006,Changed Mind,149935.94,2025-03-14 18:20:20.021006,2025-03-14 18:20:20.021006
7,9925,2026-03-13 21:33:12.997879,Damaged Product,195236.04,2026-03-13 21:33:12.997879,2026-03-13 21:33:12.997879
8,1259,2024-07-27 19:27:30.989862,Damaged Product,211132.26,2024-07-27 19:27:30.989862,2024-07-27 19:27:30.989862
9,8826,2025-12-15 15:46:53.742334,Wrong Item,151313.55,2025-12-15 15:46:53.742334,2025-12-15 15:46:53.742334
10,4338,2026-02-23 07:40:49.848198,Changed Mind,246872.26,2026-02-23 07:40:49.848198,2026-02-23 07:40:49.848198
11,2075,2025-01-09 23:07:35.363803,Changed Mind,12548.23,2025-01-09 23:07:35.363803,2025-01-09 23:07:35.363803
12,5420,2025-02-13 23:35:08.223817,Changed Mind,143864.96,2025-02-13 23:35:08.223817,2025-02-13 23:35:08.223817
13,3905,2026-04-15 01:08:28.945122,Wrong Item,265491.96,2026-04-15 01:08:28.945122,2026-04-15 01:08:28.945122
14,3782,2025-05-25 09:39:52.710541,Changed Mind,295864.71,2025-05-25 09:39:52.710541,2025-05-25 09:39:52.710541
15,6139,2025-04-03 03:47:06.941959,Damaged Product,130211.43,2025-04-03 03:47:06.941959,2025-04-03 03:47:06.941959
16,9824,2026-03-06 07:40:56.568217,Wrong Item,153018.43,2026-03-06 07:40:56.568217,2026-03-06 07:40:56.568217
17,683,2026-02-14 10:41:58.701343,Defective,157471.61,2026-02-14 10:41:58.701343,2026-02-14 10:41:58.701343
18,5803,2025-09-16 22:47:21.256790,Size Issue,101674.54,2025-09-16 22:47:21.256790,2025-09-16 22:47:21.256790
19,9418,2026-02-15 04:57:30.824279,Wrong Item,224732.49,2026-02-15 04:57:30.824279,2026-02-15 04:57:30.824279
20,6569,2025-09-19 07:14:47.506579,Size Issue,101479.45,2025-09-19 07:14:47.506579,2025-09-19 07:14:47.506579
21,9314,2026-05-07 01:49:54.912509,Damaged Product,146761.69,2026-05-07 01:49:54.912509,2026-05-07 01:49:54.912509
22,9235,2025-08-03 13:24:04.036855,Damaged Product,41621.4,2025-08-03 13:24:04.036855,2025-08-03 13:24:04.036855
23,300,2024-08-07 10:03:58.076894,Size Issue,279311.84,2024-08-07 10:03:58.076894,2024-08-07 10:03:58.076894
24,2698,2026-05-01 17:23:35.513775,Size Issue,302676.04,2026-05-01 17:23:35.513775,2026-05-01 17:23:35.513775
25,4226,2026-02-05 14:55:13.332274,Damaged Product,161040.78,2026-02-05 14:55:13.332274,2026-02-05 14:55:13.332274
26,4905,2024-10-28 19:07:20.657219,Defective,3284.61,2024-10-28 19:07:20.657219,2024-10-28 19:07:20.657219
27,8275,2025-08-04 22:52:18.633975,Damaged Product,331442.38,2025-08-04 22:52:18.633975,2025-08-04 22:52:18.633975
28,7542,2025-11-25 13:31:35.648565,Defective,167141.75,2025-11-25 13:31:35.648565,2025-11-25 13:31:35.648565
29,4430,2025-05-25 09:10:30.873514,Changed Mind,276304.34,2025-05-25 09:10:30.873514,2025-05-25 09:10:30.873514
30,2942,2025-03-28 23:57:17.780519,Changed Mind,158398.08,2025-03-28 23:57:17.780519,2025-03-28 23:57:17.780519
31,7594,2024-10-02 22:05:46.175031,Size Issue,29955.41,2024-10-02 22:05:46.175031,2024-10-02 22:05:46.175031
32,2541,2026-02-28 09:21:46.107623,Wrong Item,47185.09,2026-02-28 09:21:46.107623,2026-02-28 09:21:46.107623
33,1766,2025-09-19 04:23:50.678378,Damaged Product,365566.15,2025-09-19 04:23:50.678378,2025-09-19 04:23:50.678378
34,742,2024-09-22 11:49:52.977202,Wrong Item,101097.87,2024-09-22 11:49:52.977202,2024-09-22 11:49:52.977202
35,6238,2025-11-21 00:15:11.273647,Size Issue,218498.35,2025-11-21 00:15:11.273647,2025-11-21 00:15:11.273647
36,4582,2026-07-05 13:15:26.988082,Wrong Item,205891.66,2026-07-05 13:15:26.988082,2026-07-05 13:15:26.988082
37,6721,2026-06-13 13:39:14.120408,Damaged Product,162836.3,2026-06-13 13:39:14.120408,2026-06-13 13:39:14.120408
38,7117,2026-04-20 16:06:19.655306,Size Issue,159157.05,2026-04-20 16:06:19.655306,2026-04-20 16:06:19.655306
39,9438,2026-06-09 00:28:51.444768,Size Issue,225898.96,2026-06-09 00:28:51.444768,2026-06-09 00:28:51.444768
40,3630,2024-12-18 05:48:04.383996,Size Issue,247411.99,2024-12-18 05:48:04.383996,2024-12-18 05:48:04.383996
41,6088,2025-12-05 20:03:02.034976,Wrong Item,143088.21,2025-12-05 20:03:02.034976,2025-12-05 20:03:02.034976
42,2407,2026-05-20 03:33:40.597358,Size Issue,174282.78,2026-05-20 03:33:40.597358,2026-05-20 03:33:40.597358
43,329,2024-09-29 02:52:28.978129,Damaged Product,60656.94,2024-09-29 02:52:28.978129,2024-09-29 02:52:28.978129
44,9094,2025-02-10 10:05:49.155832,Wrong Item,81483.75,2025-02-10 10:05:49.155832,2025-02-10 10:05:49.155832
45,9527,2025-09-27 03:03:07.795099,Wrong Item,160522.3,2025-09-27 03:03:07.795099,2025-09-27 03:03:07.795099
46,4793,2024-08-23 01:45:56.907645,Defective,99023.03,2024-08-23 01:45:56.907645,2024-08-23 01:45:56.907645
47,5234,2025-07-18 08:02:41.696789,Size Issue,207954.18,2025-07-18 08:02:41.696789,2025-07-18 08:02:41.696789
48,278,2026-04-22 03:02:04.537020,Changed Mind,197004.7,2026-04-22 03:02:04.537020,2026-04-22 03:02:04.537020
49,812,2025-12-11 09:01:56.276060,Size Issue,102959.21,2025-12-11 09:01:56.276060,2025-12-11 09:01:56.276060
50,7252,2025-12-23 12:20:04.439056,Damaged Product,162536.92,2025-12-23 12:20:04.439056,2025-12-23 12:20:04.439056
51,406,2025-06-26 14:59:05.726955,Damaged Product,174901.35,2025-06-26 14:59:05.726955,2025-06-26 14:59:05.726955
52,3796,2024-08-14 01:49:37.244494,Size Issue,437245.77,2024-08-14 01:49:37.244494,2024-08-14 01:49:37.244494
53,8792,2026-01-08 07:39:26.990926,Size Issue,110936.59,2026-01-08 07:39:26.990926,2026-01-08 07:39:26.990926
54,8242,2025-07-19 10:00:54.372909,Wrong Item,195212.71,2025-07-19 10:00:54.372909,2025-07-19 10:00:54.372909
55,652,2026-04-06 13:00:44.924924,Changed Mind,143689.69,2026-04-06 13:00:44.924924,2026-04-06 13:00:44.924924
56,3783,2025-11-30 16:39:21.137662,Size Issue,237117.1,2025-11-30 16:39:21.137662,2025-11-30 16:39:21.137662
57,4767,2026-04-17 02:11:23.598024,Defective,1430.13,2026-04-17 02:11:23.598024,2026-04-17 02:11:23.598024
58,9956,2026-03-28 01:05:31.382210,Defective,168508.73,2026-03-28 01:05:31.382210,2026-03-28 01:05:31.382210
59,5210,2026-02-15 14:53:29.879571,Size Issue,221065.9,2026-02-15 14:53:29.879571,2026-02-15 14:53:29.879571
60,1418,2025-02-02 01:37:15.994894,Wrong Item,156597.56,2025-02-02 01:37:15.994894,2025-02-02 01:37:15.994894
61,8915,2024-08-30 03:06:07.202926,Changed Mind,97852.33,2024-08-30 03:06:07.202926,2024-08-30 03:06:07.202926
