order_item_id,order_id,product_id,quantity,unit_price,discount,final_price,created_at,updated_at
1,1,433,1,5477.89,0.15,4656.21,2025-11-04 02:13:31.340521,2025-11-10 16:19:41.431893
2,2,404,1,35336.38,0.03,34276.29,2025-02-10 21:47:01.184068,2025-06-09 02:45:21.402877
3,2,52,1,8083.05,0.14,6951.42,2025-02-10 21:47:01.184068,2025-06-09 02:45:21.402877
4,3,29,1,33883.86,0.12,29817.8,2026-01-13 23:33:41.353946,2026-05-24 05:57:13.718607
5,3,431,1,45946.43,0.01,45486.97,2026-01-13 23:33:41.353946,2026-05-24 05:57:13.718607
6,3,436,1,39168.11,0.05,37209.7,2026-01-13 23:33:41.353946,2026-05-24 05:57:13.718607
7,3,234,3,49547.04,0.01,147154.71,2026-01-13 23:33:41.353946,2026-05-24 05:57:13.718607
8,3,438,1,9987.05,0.14,8588.86,2026-01-13 23:33:41.353946,2026-05-24 05:57:13.718607
9,4,434,2,1701.27,0.04,3266.44,2026-05-07 17:21:56.165312,2026-05-14 13:42:07.974814
10,4,96,3,29605.58,0.06,83487.74,2026-05-07 17:21:56.165312,2026-05-14 13:42:07.974814
11,4,382,1,48362.45,0.15,41108.08,2026-05-07 17:21:56.165312,2026-05-14 13:42:07.974814
12,4,85,1,16978.66,0.14,14601.65,2026-05-07 17:21:56.165312,2026-05-14 13:42:07.974814
13,4,266,2,61244.0,0.06,115138.72,2026-05-07 17:21:56.165312,2026-05-14 13:42:07.974814
14,5,434,2,1701.27,0.02,3334.49,2025-05-29 05:01:56.952895,2025-06-10 19:00:53.308127
15,5,241,2,4323.54,0.02,8474.14,2025-05-29 05:01:56.952895,2025-06-10 19:00:53.308127
16,6,341,3,39307.73,0.05,112027.03,2024-12-31 17:09:27.700904,2025-10-16 03:44:55.699870
17,6,241,1,4323.54,0.15,3675.01,2024-12-31 17:09:27.700904,2025-10-16 03:44:55.699870
18,6,255,3,22810.12,0.02,67061.75,2024-12-31 17:09:27.700904,2025-10-16 03:44:55.699870
19,7,298,1,7712.82,0.11,6864.41,2024-08-13 09:19:03.179635,2025-01-01 18:44:28.775054
20,7,264,3,7065.62,0.12,18653.24,2024-08-13 09:19:03.179635,2025-01-01 18:44:28.775054
21,7,112,2,33848.62,0.12,59573.57,2024-08-13 09:19:03.179635,2025-01-01 18:44:28.775054
22,7,475,3,17424.82,0.01,51751.72,2024-08-13 09:19:03.179635,2025-01-01 18:44:28.775054
23,8,192,2,49650.41,0.2,79440.66,2025-11-11 17:33:49.267034,2026-03-31 02:26:45.801363
24,8,371,1,30894.07,0.17,25642.08,2025-11-11 17:33:49.267034,2026-03-31 02:26:45.801363
25,9,157,2,48393.16,0.09,88075.55,2025-01-02 00:45:39.026828,2025-12-03 14:10:22.543408
26,9,427,2,39296.32,0.03,76234.86,2025-01-02 00:45:39.026828,2025-12-03 14:10:22.543408
27,9,168,2,24573.19,0.04,47180.52,2025-01-02 00:45:39.026828,2025-12-03 14:10:22.543408
28,9,14,2,56188.59,0.14,96644.37,2025-01-02 00:45:39.026828,2025-12-03 14:10:22.543408
29,10,146,3,18238.76,0.13,47603.16,2026-03-08 06:38:52.463483,2026-03-09 04:21:35.871021
30,11,489,3,31168.0,0.05,88828.8,2026-03-05 15:20:16.787611,2026-06-12 16:00:08.900405
31,11,500,2,12985.74,0.08,23893.76,2026-03-05 15:20:16.787611,2026-06-12 16:00:08.900405
32,11,401,3,24061.54,0.14,62078.77,2026-03-05 15:20:16.787611,2026-06-12 16:00:08.900405
33,11,364,1,39913.12,0.14,34325.28,2026-03-05 15:20:16.787611,2026-06-12 16:00:08.900405
34,11,257,1,22481.22,0.05,21357.16,2026-03-05 15:20:16.787611,2026-06-12 16:00:08.900405
35,12,91,2,8993.31,0.08,16547.69,2025-03-30 13:12:37.447244,2025-06-13 11:33:00.486502
36,13,277,1,30408.59,0.18,24935.04,2026-06-24 05:30:06.430757,2026-07-04 17:59:16.680648
37,14,347,3,37236.55,0.06,105007.07,2024-09-30 18:04:38.189289,2024-12-03 20:24:13.868829
38,14,318,3,29199.05,0.1,78837.43,2024-09-30 18:04:38.189289,2024-12-03 20:24:13.868829
39,14,183,3,48897.04,0.09,133488.92,2024-09-30 18:04:38.189289,2024-12-03 20:24:13.868829
40,14,449,2,61611.36,0.03,119526.04,2024-09-30 18:04:38.189289,2024-12-03 20:24:13.868829
41,14,409,3,5124.75,0.11,13683.08,2024-09-30 18:04:38.189289,2024-12-03 20:24:13.868829
42,15,71,3,31142.62,0.12,82216.52,2026-04-05 01:57:57.960628,2026-06-11 08:07:17.251797
43,15,477,3,38007.09,0.08,104899.57,2026-04-05 01:57:57.960628,2026-06-11 08:07:17.251797
44,15,352,1,9669.37,0.2,7735.5,2026-04-05 01:57:57.960628,2026-06-11 08:07:17.251797
45,16,127,3,35668.34,0.1,96304.52,2026-03-06 14:17:13.675711,2026-06-17 09:45:15.741725
46,16,426,1,19602.93,0.17,16270.43,2026-03-06 14:17:13.675711,2026-06-17 09:45:15.741725
47,17,250,3,33977.05,0.03,98873.22,2025-08-20 16:59:42.635640,2026-07-16 09:02:09.529312
48,17,142,3,6466.88,0.08,17848.59,2025-08-20 16:59:42.635640,2026-07-16 09:02:09.529312
49,18,328,2,8395.07,0.08,15446.93,2025-04-27 12:23:04.816977,2026-01-03 02:59:53.082498
50,19,31,3,13957.07,0.05,39777.65,2026-03-22 20:49:34.054001,2026-06-07 22:41:32.055020
51,19,426,3,19602.93,0.17,48811.3,2026-03-22 20:49:34.054001,2026-06-07 22:41:32.055020
52,19,59,1,23647.94,0.14,20337.23,2026-03-22 20:49:34.054001,2026-06-07 22:41:32.055020
53,19,251,1,33334.58,0.14,28667.74,2026-03-22 20:49:34.054001,2026-06-07 22:41:32.055020
54,20,374,2,40151.14,0.15,68256.94,2026-04-15 11:08:00.324971,2026-06-12 18:55:00.745440
55,20,314,2,35318.66,0.02,69224.57,2026-04-15 11:08:00.324971,2026-06-12 18:55:00.745440
56,20,284,2,53116.85,0.03,103046.69,2026-04-15 11:08:00.324971,2026-06-12 18:55:00.745440
57,20,68,1,33273.53,0.19,26951.56,2026-04-15 11:08:00.324971,2026-06-12 18:55:00.745440
